"NoProj","PeriodeDate","CodPrg","NomProjet","NomCatg","Nom_Volet","NbStagReel","NoOrgaQue","NoOrgaEtran","NomOrgaQue","NomOrgaEtran","NomPays","VilleQuartier","Lattitude","Longitude","Secteur principal","Domaine","MontantSubvention","Versement1","Versement2","Versement3","Versement4","Versement5","AnnFinaVersement1","AnnFinaVersement2","AnnFinaVersement3","AnnFinaVersement4","AnnFinaVersement5","Statut"
22,"1997-1998","AAHI","Aide aux enfants handicapés","Projets spéciaux","",0,70,92,"Collaboration santé internationale","Centre du coeur Eucharistique","Haïti","",18.54,-72.33,"Services sociaux","Services sociaux",1438.00,1438.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
23,"1997-1998","AAHI","Aménagement du Centre de santé","Projets spéciaux","",0,70,93,"Collaboration santé internationale","Centre de santé","Haïti","",18.54,-72.33,"Santé","Infrastructure pour la santé de base",4905.00,4905.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
24,"1997-1998","AAHI","Formation audiovisuelle en maraîchage et organisation de coopérative","Projets spéciaux","",0,70,94,"Collaboration santé internationale","Soeurs du Bon Pasteur","Haïti","",18.54,-72.33,"Agriculture / Foresterie","Coopératives agricoles",3226.00,3226.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
25,"1997-1998","AAHI","Nutrition au AK 1000 (mélange de riz et de maïs ou de pois)","Projets spéciaux","",0,70,95,"Collaboration santé internationale","Centre Médico-social Plaine du Nord","Haïti","",18.54,-72.33,"Santé","Nutrition de base",4830.00,4830.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
26,"1997-1998","AAHI","Installation de moustiquaires à l'école du Quartier-Morin","Projets spéciaux","",0,70,96,"Collaboration santé internationale","Soeurs de Charité de St. Louis","Haïti","",18.54,-72.33,"Santé","Lutte contre les maladies infectieuses",2588.00,2588.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
27,"1997-1998","AAHI","Restauration d'une cuisine scolaire","Projets spéciaux","",0,70,7,"Collaboration santé internationale","M. P. Soeurs de la Charité de St-Louis","Haïti","",18.54,-72.33,"Santé","Nutrition de base",5015.00,5015.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
28,"1997-1998","AAHI","Support à la promotion nutritionnelle","Projets spéciaux","",0,70,97,"Collaboration santé internationale","Dispensaire St-Louis","Haïti","",18.54,-72.33,"Activités génératrices de revenus","Micro-crédit",1917.00,1917.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
29,"1997-1998","AAHI","Expédition d'un conteneur de médicaments, fournitures et équipements médicaux pour un sanatorium","Projets spéciaux","",0,70,98,"Collaboration santé internationale","Sanatorium Carrefour Feuilles","Haïti","",18.54,-72.33,"Santé","Infrastructure pour la santé de base",19167.00,19167.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
30,"1997-1998","AAHI","Fabrication de coussins d'eau","Projets spéciaux","",0,70,99,"Collaboration santé internationale","Domicaines Missionaires Adoratrices","Pérou","",-12.04,-77.05,"Services sociaux","Services sociaux",2396.00,2396.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
31,"1997-1998","AAHI","Expédition d'un container de lits d'hôpitaux au Pérou","Projets spéciaux","",0,70,100,"Collaboration santé internationale","Instituto Nacional de Enfermedades Neoplasicas","Pérou","",-12.04,-77.05,"Santé","Infrastructure pour la santé de base",11500.00,11500.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
32,"1997-1998","AAHI","Nutrition infantile à Bentégnier","Projets spéciaux","",0,70,101,"Collaboration santé internationale","Mission Catholique par Popoguine","Sénégal","",14.71,-17.47,"Santé","Nutrition de base",3831.00,3831.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
33,"1997-1998","AAHI","Centre de réhabilitation d'enfants","Projets spéciaux","",0,70,102,"Collaboration santé internationale","Centre de promotion rurale","Bolivie","",-16.49,-68.15,"Santé","Nutrition de base",4792.00,4792.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
35,"1998-1999","AAHI","Élèves sans frontières","Stages étudiants","",0,71,82,"Fondation La Frontalière (La)","Centro de planificacion y accion ecumenica","République dominicaine","",18.47,-69.90,"Santé","Éducation sanitaire",4000.00,4000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
36,"1997-1998","AAHI","Mira - Mexique","Grands projets","",0,72,111,"Fondation Mira inc. (La)","MIRA - Mexique","Mexique","",19.42,-99.12,"Services sociaux","Services sociaux",225000.00,75000.00,75000.00,75000.00,0.00,0.00,"1997-1998","1998-1999","1999-2000","","","Approuvé / Versé"
37,"1997-1998","AAHI","Alphabétisation dans la région de l'Artibonite en Haïti","Grands projets","",0,73,112,"Fondation Paul Gérin-Lajoie","Amarc Amérique Latine et Caraïbes, AMARC Afrique","Haïti","",18.54,-72.33,"Éducation","Éducation pour une meilleure qualité de vie pour les jeunes et les adultes",525000.00,165095.00,178035.00,181870.00,0.00,0.00,"1997-1998","1999-2000","2000-2001","","","Approuvé / Versé"
38,"1998-1999","AAHI","Stage d'étudiants de l'école secondaire Armand-Corbeil de Terrebonne (Las Cacurachas ambulantes)","Stages étudiants","",0,74,9,"Groupe d'entraide internationale Spirale","Centro Comunitario Oscar Arnulfo Romero (CCOAR)","Nicaragua","",12.15,-86.26,"Éducation","Équipements scolaires et formation",4250.00,4250.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
39,"1998-1999","AAHI","Éducation et promotion humaine intégrée dans le nord d'Haïti","Grands projets","",0,110,8,"Institut de développement Nord-Sud","Caritas diocésaine du Cap-Haïtien","Haïti","",18.54,-72.33,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",236000.00,80000.00,80000.00,76000.00,0.00,0.00,"1998-1999","1999-2000","2000-2001","","","Approuvé / Versé"
40,"1998-1999","AAHI","Stage d'étudiants du Petit Séminaire de Québec au Nicaragua","Stages étudiants","",0,74,9,"Groupe d'entraide internationale Spirale","Centro Comunitario Oscar Arnulfo Romero (CCOAR)","Nicaragua","",12.15,-86.26,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",2560.00,2560.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
42,"1998-1999","AAHI","Guatemala Polybel","Stages étudiants","",0,113,48,"Jeunesse Amitié Québec Caraïbes","Club Rotary de Nagua","Guatemala","",14.62,-90.52,"Éducation","Équipements scolaires et formation",4250.00,4250.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
44,"1997-1998","AAHI","Intervention au Centre de réhabilitation de Khan Younis à Gaza en Palestine","Grands projets","",0,115,68,"Aide médicale pour la Palestine","La société du Croissant Rouge palestinien","Territoires palestiniens","",31.90,35.20,"Services sociaux","Services sociaux",60000.00,60000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
51,"1998-1999","AAHI","Femmes indigènes du Guatemala - Reconstruction du tissu social en temps de paix","Grands projets","",0,87,28,"Centre international de solidarité ouvrière","Coordinadora Nacional Indigena y Campesina","Guatemala","",14.62,-90.52,"Gouvernance et société civile","Renforcement de la société civile",42800.00,22800.00,20000.00,0.00,0.00,0.00,"1998-1999","2000-2001","","","","Approuvé / Versé"
54,"1998-1999","AAHI","Lutte contre le sida et les MST dans la région de Sikasso au Mali","Grands projets","",0,119,21,"Médecins du monde","Plusieurs","Mali","",12.65,-8.00,"Santé","Lutte contre les MST et VIH/Sida",37000.00,37000.00,0.00,0.00,0.00,0.00,"1998-1999","1999-2000","2000-2001","","","Approuvé / Versé"
56,"1998-1999","AAHI","Programme de renforcement de la coopérative d'Anse d'Hainault-Mont-Carmel, Haïti","Grands projets","",0,80,62,"Carrefour de solidarité internationale","Union des coopératives d'Anse d'Hainault","Haïti","",18.54,-72.33,"Agriculture / Foresterie","Coopératives agricoles",144967.00,49517.00,52570.00,42880.00,0.00,0.00,"1998-1999","2000-2001","2001-2002","","","Approuvé / Versé"
60,"1998-1999","AAHI","Reconstruction du centre paroissial de Pespire, département de Choluteca, Honduras","Petits projets","",0,124,33,"MIR- Partenariats et Développement International","Communauté de Pespire","Honduras","",14.10,-87.21,"Gouvernance et société civile","Renforcement de la société civile",58189.00,58189.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
61,"1998-1999","AAHI","Centro communitario Vida Nueva, Quartier Julio Midence, paroisse San Pablo, Ville de Choluteca, Honduras","Petits projets","",0,124,34,"MIR- Partenariats et Développement International","Communauté de San Pablo","Honduras","",14.10,-87.21,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",39647.00,39647.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
62,"1998-1999","AAHI","Greniers communautaires au Nord-Cameroun","Petits projets","",0,78,76,"L'Oeuvre Léger","Comité diocésain de développement de Maroua","Cameroun","",3.86,11.51,"Agriculture / Foresterie","Services agricoles",40000.00,40000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
69,"1998-1999","AAHI","Éducation dans l'Afrique du XXIe siècle","Grands projets","",0,97,21,"Jeunesse du Monde","Plusieurs","Burkina Faso","",12.37,-1.52,"Services sociaux","Culture et loisirs",250000.00,125000.00,63000.00,62000.00,0.00,0.00,"1998-1999","2000-2001","2001-2002","","","Approuvé / Versé"
71,"1998-1999","AAHI","Réhabilitation des systèmes de production des familles paysannes Microbassin versant Quebrada Grande","Grands projets","",0,96,31,"Jeunesse Canada Monde / Bureau régional du Québec","Kati Raya","Nicaragua","",12.15,-86.26,"Agriculture / Foresterie","Coopératives agricoles",74880.00,50000.00,24880.00,0.00,0.00,0.00,"1998-1999","1999-2000","","","","Approuvé / Versé"
72,"1998-1999","AAHI","Amélioration des conditions d'apprentissage ""2"" - École Santa Teresita, à San Marcos, au Honduras","Grands projets","",0,62,63,"L'AMIE (Aide internationale à l'enfance)","École Santa Teresita","Honduras","",14.10,-87.21,"Éducation","Équipements scolaires et formation",32767.00,20000.00,12767.00,0.00,0.00,0.00,"1998-1999","2000-2001","","","","Approuvé / Versé"
73,"1998-1999","AAHI","Mise en place d'une école primaire Kauk-Banchoan au Cambodge","Grands projets","",0,130,71,"Association Québec-Cambodge","École Primaire Kauk-Banchoan","Cambodge","",11.55,104.91,"Éducation","Équipements scolaires et formation",84500.00,44500.00,40000.00,0.00,0.00,0.00,"1998-1999","1999-2000","","","","Approuvé / Versé"
75,"1997-1998","AAHI","Redynamisation des activités génératrices de revenus pour les femmes de Goma et ses environs","Petits projets","",0,76,70,"Alternatives","Promotion et Appui aux Initiatives Féminines (PAIF)","République démocratique du Congo","",-4.32,15.31,"Activités génératrices de revenus","Micro-crédit",48610.00,48610.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
76,"1997-1998","AAHI","Reconstruction du tissu social de la région des Grands Lacs africains","Grands projets","",0,78,73,"L'Oeuvre Léger","Centre de Sourds de Butare","Rwanda","",-1.95,30.06,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",435000.00,220000.00,215000.00,0.00,0.00,0.00,"1997-1998","1997-1998","","","","Approuvé / Versé"
77,"1998-1999","AAHI","Atelier de fils en aiguille Kay Fanm à Port-au-Prince, Haïti","Grands projets","",0,68,39,"Comité de Solidarité/Trois-Rivières","Kay Fanm","Haïti","",18.54,-72.33,"Activités génératrices de revenus","Micro-entreprise",38190.00,19095.00,19095.00,0.00,0.00,0.00,"1998-1999","1999-2000","","","","Approuvé / Versé"
78,"1998-1999","AAHI","Participation aux opérations de réhabilitation de la population chinoise frappée par les inondations de l'été 1998","Petits projets","",0,131,109,"Croix-Rouge canadienne Division du Québec","Fédération intationale de la Croix-Rouge et du Croissant Rouge","Chine","",39.92,116.38,"Santé","Soins et services de santé de base",50000.00,50000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
79,"1998-1999","AAHI","Expédition de livres en Haïti","Projets spéciaux","",0,132,85,"Fondation des parlementaires québécois - Cultures à partager","Aucun","Haïti","",18.54,-72.33,"Éducation","Équipements scolaires et formation",4642.25,4642.25,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
80,"1998-1999","AAHI","Expédition de livres au Burkina Faso","Projets spéciaux","",0,132,106,"Fondation des parlementaires québécois - Cultures à partager","Organisation pour la gestion de l'environnement au Sahel","Burkina Faso","",12.37,-1.52,"Éducation","Équipements scolaires et formation",4642.25,4642.25,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
81,"1998-1999","AAHI","Paramundo - Stimulation infantile","Stages étudiants","",0,62,67,"L'AMIE (Aide internationale à l'enfance)","Soeur Biane Parision","Haïti","",18.54,-72.33,"Services sociaux","Services sociaux",3000.00,3000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
82,"1997-1998","AAHI","Promotion des cercles des fermières à Abong au Cameroun dans le diocèse d'Ebolowa-Kribi","Projets spéciaux","",0,78,75,"L'Oeuvre Léger","Diocèse d'Ebolowa-Kribi","Cameroun","",3.86,11.51,"Activités génératrices de revenus","Micro-entreprise",5000.00,5000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
83,"1998-1999","AAHI","Stacoopintho - Quand solidarité rime avec sciences humaines","Stages étudiants","",0,78,74,"L'Oeuvre Léger","Hogar de niños Diamante","Honduras","",14.10,-87.21,"Multisectoriel/Autre",,1750.00,1750.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
84,"1998-1999","AAHI","Protection et mise en valeur de la mare de Gaïrogou","Petits projets","",0,79,77,"Carrefour International (bureau régional du Québec)","Gayia","Niger","",13.51,2.11,"Agriculture / Foresterie","Ressources en eau à usage agricole",39874.00,39874.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
85,"1998-1999","AAHI","Programme de réseau populaire de santé à Collique, Pérou","Grands projets","",0,80,280,"Carrefour de solidarité internationale","Ayni salud","Pérou","",-12.04,-77.05,"Santé","Soins et services de santé de base",125000.00,50000.00,40000.00,35000.00,0.00,0.00,"1998-1999","1999-2000","2000-2001","","","Approuvé / Versé"
86,"1997-1998","AAHI","Stage étudiants du Collège de Sherbrooke au Nicaragua","Stages étudiants","",0,80,79,"Carrefour de solidarité internationale","SUCO - Nicaragua","Nicaragua","",12.15,-86.26,"Multisectoriel/Autre",,5000.00,5000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
87,"1997-1998","AAHI","Programme de renforcement des actions et initiatives locales (PRAIL) à Dioïla, Mali","Grands projets","",0,80,136,"Carrefour de solidarité internationale","Association Kilabo","Mali","",12.65,-8.00,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",156943.00,56848.00,71810.00,29381.00,-1096.00,0.00,"1997-1998","1998-1999","1999-2000","2002-2003","","Approuvé / Versé"
88,"1998-1999","AAHI","Programme de santé intégrale à Bellas Colinas, République Dominicaine","Grands projets","",0,80,82,"Carrefour de solidarité internationale","Centro de planificacion y accion ecumenica","République dominicaine","",18.47,-69.90,"Santé","SANTÉ DE BASE",106000.00,39000.00,33000.00,34000.00,0.00,0.00,"1998-1999","1999-2000","2000-2001","","","Approuvé / Versé"
89,"1997-1998","AAHI","Hygiène, installations sanitaires et coopérative de production","Stages étudiants","",0,133,65,"Centre amitié de solidarité internationale de la région de l'amiante","Augustines de la Miséricodre de Jésus","Paraguay","",-25.29,-57.64,"Multisectoriel/Autre",,5000.00,5000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
90,"1997-1998","AAHI","Projet de construction 100 maisons dans la préfecture de Gisenyi au Rwanda - Appui à la réinstallation des rapatriés","Grands projets","",0,82,83,"Centre d'étude et de coopération internationale","Association des veuves du génocide (AVEGA)","Rwanda","",-1.95,30.06,"Services sociaux","Logement",200000.00,100000.00,100000.00,0.00,0.00,0.00,"1997-1998","1997-1998","","","","Approuvé / Versé"
91,"1998-1999","AAHI","Réinsertion socioprofessionnelle des enfants de la rue à Casablanca au Maroc","Petits projets","",0,86,37,"Centre d'études arabes pour le développement","Centre Bayti","Maroc","",34.02,-6.83,"Éducation","Formation professionnelle",52915.00,52915.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
92,"1998-1999","AAHI","Stages d'étudiants en Bolivie","Stages étudiants","",0,82,288,"Centre d'étude et de coopération internationale","Centre Luis Espinal","Bolivie","",-16.49,-68.15,"Services sociaux","Services sociaux",1700.00,1700.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
93,"1997-1998","AAHI","Programme de stages internationaux du Centre de référence des directeurs généraux et des cadres du réseau de la santé du Québec","Projets spéciaux","",0,122,85,"Centre de référence des directeurs généraux et des cadres","Aucun","Multi-Pays","",1.00,1.00,"Santé","Politique de la santé et gestion administrative",103055.00,51916.00,31139.00,20000.00,0.00,0.00,"1997-1998","1997-1998","1998-1999","","","Approuvé / Versé"
94,"1997-1998","AAHI","Bâtir la paix au Guatemala","Grands projets","",0,87,88,"Centre international de solidarité ouvrière","Centro de investigacion y educacion popular","Guatemala","",14.62,-90.52,"Gouvernance et société civile","Renforcement de la société civile",186318.00,106145.00,80173.00,0.00,0.00,0.00,"1997-1998","1997-1998","","","","Approuvé / Versé"
95,"1998-1999","AAHI","Projet d'intervention humanitaire régionale pour les personnes affectées par l'ouragan Mitch Guatemala - Honduras","Grands projets","",0,82,85,"Centre d'étude et de coopération internationale","Aucun","Guatemala","",14.62,-90.52,"Services sociaux","Logement",200000.00,200000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
96,"1998-1999","QSF","Développement de la société civile au Maroc","Stages annuels","universel",7,76,131,"Alternatives","Espace des associations marocaines de développement","Maroc","",34.02,-6.83,"Gouvernance et société civile","Renforcement de la société civile",28095.00,14047.50,14047.50,2142.00,0.00,0.00,"1998-1999","1998-1999","1998-1999","","","Approuvé / Versé"
97,"1998-1999","QSF","Éducation et conscientisation sur la protection de l'environnement dans les communautés locales","Stages annuels","universel",6,76,132,"Alternatives","RENACE (réseau national de groupe écologistes)","Chili","",-33.45,-70.66,"Environnement","Éducation et formation environnementales",19281.00,9640.50,9640.50,1836.00,0.00,0.00,"1998-1999","1998-1999","1998-1999","","","Approuvé / Versé"
99,"1998-1999","QSF","Construction d'un centre d'encadrement et d'insertion de jeunes adolescents analphabètes ou non scolarisés","Stages annuels","universel",7,79,133,"Carrefour International (bureau régional du Québec)","Groupe d'appui au développement Sud Sénégal (GADESS)","Sénégal","",14.71,-17.47,"Services sociaux","Services sociaux",28733.00,14366.50,14366.50,2296.67,0.00,0.00,"1998-1999","1998-1999","1998-1999","","","Approuvé / Versé"
100,"1998-1999","QSF","Appui à la communauté villageoise de Kokoum","Stages annuels","universel",7,79,136,"Carrefour International (bureau régional du Québec)","Association Kilabo","Mali","",12.65,-8.00,"Multisectoriel/Autre",,28732.00,14366.00,14366.00,2296.66,0.00,0.00,"1998-1999","1998-1999","1998-1999","","","Approuvé / Versé"
101,"1998-1999","QSF","Renforcement des rapports d'échanges entre les populations du Bokin et celles du Québec","Stages annuels","universel",7,79,135,"Carrefour International (bureau régional du Québec)","Association des Carrefouristes burkinabé","Burkina Faso","",12.37,-1.52,"Agriculture / Foresterie","AGRICULTURE",28478.00,14239.00,14239.00,2296.67,0.00,0.00,"1998-1999","1998-1999","1998-1999","","","Approuvé / Versé"
102,"1999-2000","AAHI","Programme d'éducation aux jeunes mères","Petits projets","",0,70,51,"Collaboration santé internationale","Soeurs de la Charité de Québec","Uruguay","Barros Blancos",-34.85,-56.17,"Éducation","Éducation pour une meilleure qualité de vie pour les jeunes et les adultes",23106.00,23106.00,0.00,0.00,0.00,0.00,"1999-2000","","","","","Approuvé / Versé"
103,"1999-2000","AAHI","Culture et transformation des ananas à Pongo Édéa","Projets spéciaux","",0,70,50,"Collaboration santé internationale","Association de femme et Développement","Cameroun","Édéa",3.86,11.51,"Agriculture / Foresterie","Production agricole",9371.00,9371.00,0.00,0.00,0.00,0.00,"1999-2000","","","","","Approuvé / Versé"
109,"1999-2000","AAHI","Programme de formation en gestion d'entreprises familiales en Équateur","Petits projets","",0,134,160,"Société de coopération pour le développement international","Union d'organisations d'agriculteurs de Vinces et Babas","Équateur","",-0.21,-78.50,"Agriculture / Foresterie","Coopératives agricoles",24000.00,24000.00,0.00,0.00,0.00,0.00,"1999-2000","","","","","Approuvé / Versé"
111,"1998-1999","AAHI","Animation dans les écoles et à l'orphelinat de Kenscoff","Stages étudiants","",0,135,47,"Association québécoise pour l'avancement des Nations-Unies","Association Afe Nèg Combit","Haïti","",18.54,-72.33,"Éducation","Équipements scolaires et formation",5000.00,5000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
112,"1998-1999","AAHI","Accessibilité aux soins essentiels pour nouveaux-nés","Petits projets","",0,64,69,"Centre de solidarité internationale Corcovado inc.","Centre de Puériculture et Maternité Marie Mère de Salvador","Brésil","",-15.78,-47.91,"Santé","Éducation sanitaire",57250.00,28688.00,28562.00,0.00,0.00,0.00,"1998-1999","1998-1999","","","","Approuvé / Versé"
114,"1998-1999","AAHI","Pouponnière spécialisée pour bébés prématurés et à risque","Petits projets","",0,64,69,"Centre de solidarité internationale Corcovado inc.","Centre de Puériculture et Maternité Marie Mère de Salvador","Brésil","",-15.78,-47.91,"Santé","Services médicaux",57500.00,28687.00,28813.00,0.00,0.00,0.00,"1998-1999","1998-1999","","","","Approuvé / Versé"
115,"1998-1999","AAHI","Envoi de jeunes québécois dans les pays frappés par l'ouragan Mitch","Projets spéciaux","",0,96,85,"Jeunesse Canada Monde / Bureau régional du Québec","Aucun","Multi-Pays Amérique Latine","",15.00,-80.00,"Aide d'urgence","Aide d'urgence",10150.00,10150.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
116,"1998-1999","AAHI","Promoteur de la culture et développement communautaire","Grands projets","",0,97,113,"Jeunesse du Monde","Association des promoteurs de la culture Monexico","Nicaragua","",12.15,-86.26,"Gouvernance et société civile","Renforcement de la société civile",40000.00,20000.00,20000.00,0.00,0.00,0.00,"1998-1999","1999-2000","","","","Approuvé / Versé"
117,"1998-1999","AAHI","Stage en République démocratique du Congo et appui à la communauté d'accueil","Stages étudiants","",0,97,21,"Jeunesse du Monde","Plusieurs","République démocratique du Congo","",-4.32,15.31,"Santé","Soins et services de santé de base",500.00,500.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
119,"1997-1998","AAHI","Développement d'un programme de santé communautaire dans la région de Grand Goave en Haïti","Grands projets","",0,119,21,"Médecins du monde","Plusieurs","Haïti","",18.54,-72.33,"Santé","Soins et services de santé de base",215340.00,109170.00,106170.00,0.00,0.00,0.00,"1997-1998","1998-1999","","","","Approuvé / Versé"
120,"1998-1999","AAHI","Agro-récupération dans la vallée de Chinao au Pérou","Grands projets","",0,136,11,"Mouvement Vert Mauricie inc.","Inst. pour le Dév. et la Paix amaz","Pérou","",-12.04,-77.05,"Agriculture / Foresterie","Coopératives agricoles",59700.00,59700.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
122,"1998-1999","AAHI","Coopec et activités génératrices de revenus à Lomé au Togo","Petits projets","",0,124,114,"MIR- Partenariats et Développement International","Association togolaise d'entraide en santé","Togo","",6.13,1.22,"Activités génératrices de revenus","Micro-crédit",30908.00,30908.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
125,"1997-1998","AAHI","Pêche artisanale à Kaffountine au Sénégal","Projets spéciaux","",0,124,85,"MIR- Partenariats et Développement International","Aucun","Sénégal","",14.71,-17.47,"Pêche","Politique de la pêche et gestion administrative",6882.00,6882.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
